ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000213977.3	NaN	NaN	0.4374	NaN	0.0044	NaN	NaN	NaN
ENSG00000229276.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000265078.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000234380.1	NaN	NaN	NaN	NaN	NaN	NaN	-0.5261	-0.8595
ENSG00000158747.9	NaN	NaN	NaN	NaN	0.6300	NaN	NaN	NaN
ENSG00000123505.10	-0.9549	1.6598	0.8176	NaN	0.2835	NaN	NaN	NaN
ENSG00000136444.5	-0.9361	NaN	NaN	NaN	0.2674	NaN	NaN	NaN
ENSG00000155034.14	-2.3700	NaN	NaN	NaN	0.1991	NaN	NaN	0.1843
ENSG00000188888.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000183780.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000175224.12	-0.0221	-2.1476	-0.2769	NaN	-1.7576	NaN	NaN	NaN
ENSG00000202092.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000262332.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000272010.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000167562.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.7590
ENSG00000260682.2	NaN	NaN	NaN	NaN	NaN	NaN	-3.8480	NaN
ENSG00000023572.4	NaN	NaN	NaN	NaN	-1.1476	NaN	NaN	NaN
ENSG00000169129.10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000233560.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000119669.3	-1.5924	-2.7997	2.4963	NaN	NaN	NaN	NaN	NaN
ENSG00000118705.12	-1.1700	-2.1476	0.3829	NaN	-0.0541	NaN	NaN	NaN
ENSG00000204086.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000252974.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000260778.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.3849
ENSG00000144668.7	NaN	NaN	NaN	NaN	-1.2851	NaN	NaN	NaN
ENSG00000241413.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000202217.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000116120.8	-1.1476	NaN	NaN	NaN	-0.1075	NaN	NaN	NaN
ENSG00000181378.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000079950.9	NaN	NaN	-2.1476	NaN	0.3946	NaN	NaN	NaN
ENSG00000128564.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000132819.12	NaN	NaN	-1.6330	NaN	1.5236	NaN	NaN	NaN
ENSG00000254246.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000266123.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000221303.1	NaN	NaN	NaN	NaN	NaN	NaN	-1.1476	NaN
ENSG00000244491.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3759
ENSG00000239900.7	-0.3821	NaN	NaN	NaN	-0.6496	NaN	NaN	NaN
ENSG00000066697.10	NaN	NaN	NaN	NaN	-0.4695	NaN	NaN	NaN
ENSG00000188641.8	NaN	NaN	NaN	NaN	0.2805	NaN	NaN	NaN
ENSG00000183160.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000273281.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000164038.10	-0.6070	NaN	NaN	NaN	-0.8379	NaN	NaN	NaN
ENSG00000080603.12	-0.4198	1.0129	-0.9549	NaN	0.4444	NaN	-1.7326	-0.8638
ENSG00000198585.7	NaN	NaN	-1.5102	NaN	NaN	NaN	NaN	NaN
ENSG00000267467.2	NaN	NaN	-0.3340	NaN	0.0963	NaN	NaN	NaN
ENSG00000105619.9	NaN	NaN	NaN	NaN	1.6598	NaN	NaN	NaN
ENSG00000175344.12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000099953.5	-2.2851	NaN	-1.0407	NaN	-0.1091	NaN	NaN	NaN
ENSG00000121281.8	-2.8106	NaN	-1.1476	NaN	-0.1813	NaN	NaN	NaN
ENSG00000259939.1	NaN	NaN	NaN	NaN	NaN	NaN	-1.2731	-2.2851
ENSG00000079156.12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000140691.12	1.5749	1.9399	2.1743	NaN	0.6300	NaN	NaN	NaN
ENSG00000253404.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000116254.13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000168874.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000118046.10	-0.2449	-0.2696	1.0451	NaN	0.6752	NaN	NaN	NaN
ENSG00000180998.7	NaN	NaN	NaN	NaN	0.1280	NaN	NaN	NaN
ENSG00000240589.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000182674.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000188394.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000148187.13	NaN	NaN	NaN	NaN	-0.1804	NaN	NaN	NaN
ENSG00000102738.6	NaN	NaN	NaN	NaN	-0.6865	NaN	NaN	NaN
ENSG00000223475.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000254389.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000103494.8	NaN	NaN	NaN	NaN	-0.4617	NaN	NaN	NaN
ENSG00000203614.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000106733.16	NaN	NaN	NaN	NaN	-0.2180	NaN	NaN	NaN
ENSG00000197272.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000223575.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000258537.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000183153.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000223922.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000169570.5	NaN	NaN	NaN	NaN	0.3014	NaN	NaN	NaN
ENSG00000142627.9	-1.7818	-2.4695	-0.9736	NaN	0.2934	NaN	NaN	NaN
ENSG00000204682.5	NaN	2.6598	0.4050	NaN	2.1562	NaN	NaN	NaN
ENSG00000273162.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000262322.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000144048.6	NaN	NaN	NaN	NaN	-0.9736	NaN	NaN	NaN
ENSG00000095752.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000225246.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000176783.10	-1.6330	NaN	NaN	NaN	-0.5566	NaN	NaN	NaN
ENSG00000253927.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000124092.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000204278.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000202093.1	NaN	NaN	NaN	NaN	NaN	NaN	-4.4123	NaN
ENSG00000251815.1	NaN	NaN	NaN	NaN	NaN	NaN	-2.6836	NaN
ENSG00000164972.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000250069.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000222898.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000075407.13	-1.6330	NaN	-2.2229	NaN	0.0223	NaN	NaN	NaN
ENSG00000204740.5	-1.5982	NaN	NaN	NaN	-0.5686	NaN	NaN	-0.7839
ENSG00000198758.6	-0.1773	NaN	NaN	NaN	1.3118	NaN	NaN	NaN
ENSG00000237491.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0772
ENSG00000200246.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000151612.11	-1.2471	NaN	NaN	NaN	0.2451	NaN	NaN	NaN
ENSG00000124214.15	-1.4695	-1.7880	-1.6748	NaN	-0.3483	NaN	NaN	NaN
ENSG00000163161.8	-0.6684	NaN	NaN	NaN	0.1154	NaN	NaN	NaN
ENSG00000264058.1	NaN	NaN	NaN	NaN	NaN	NaN	-0.6781	-1.0042
ENSG00000181513.10	0.2086	0.1520	0.1850	NaN	0.5383	NaN	NaN	NaN
ENSG00000132122.7	NaN	NaN	NaN	NaN	0.1550	NaN	NaN	NaN
ENSG00000200164.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000161896.6	NaN	NaN	NaN	NaN	-2.7326	NaN	NaN	NaN
ENSG00000060237.12	-1.1058	-1.5261	-0.9956	NaN	-0.5626	NaN	NaN	NaN
ENSG00000213385.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000258674.5	-0.7326	NaN	-1.3700	NaN	0.3181	NaN	NaN	NaN
ENSG00000141568.15	-1.1476	-1.1476	-1.4579	NaN	0.1619	NaN	NaN	-1.4695
ENSG00000253661.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000244165.1	-0.8395	0.4625	NaN	NaN	0.4013	NaN	NaN	NaN
ENSG00000260166.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000109606.8	-1.2696	NaN	NaN	NaN	-0.6467	NaN	NaN	1.5123
ENSG00000031544.10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000232228.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000270072.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.1743
ENSG00000126775.8	-1.7326	NaN	NaN	NaN	-0.0736	NaN	NaN	NaN
